,post,sentimento
10,racista vale nada boi guimarães joão maranhão,negativa
11,joão maranhão maior ponto achar ruim discorde aí casa,negativa
30,chorei vendo bois joão maranhão coisa linda,negativa
41,vi galera triste pq mês joão acabou gente aqui barreirinhas agosto festa maranhão sempre famoso,negativa
52,mlk tô moído cansado estafado fadigado acabado triturado acima tudo extremamente grato poder viver plenamente joão maranhão,negativa
55,certeza pior joão maranhão daqui caxias aínda bem perdi nada,negativa
66,existe nada lindo joão maranhão,negativa
79,ano q vem vou perder joão maranhão fudendo,negativa
87,racista vale nada boi guimarães joão maranhão,negativa
102,maluco sai lá esgoto falar joão maranhão menor caruaru campina grande ksksksksk cair olhos vá ti tomar cu irmão,negativa
104,saudades desse joão maranhão,negativa
108,tankei joão maranhão cansei dois dias,negativa
110,verdade maranhão muitas culturas fala mal joão daqui inveja demais,negativa
113,famigerado calendário polêmicas joão maranhão twitter,negativa
116,conheço outros acho difícil bater joão maranhão começa junho vara julho diversidade enorme manifestações culturais bebem tanto norte quanto nordeste bumba boi 4 sotaques diferentes,negativa
117,joão maranhão maior ponto achar ruim discorde aí casa,negativa
121,campina grande abertura maior joão brasil fiquei chocada pq lugar prof organizou evento participava evento ano anterior aqui olhou disse maranhão vcs outro nível,negativa
122,campina grande abertura maior joão brasil fiquei chocada pq lugar professor tava organizando evento participava olhou disse maranhão vcs outro nível,negativa
136,filho ta sabendo diferenciar falando aqui vc pois conhece joão maranhão diz desde tempo ouve falar bumba boi ta confuso to falando imensidão to falando sendo contraditório,negativa
164,coisas acho superestimadas joão maranhão arraial ipem boi morros discorda fodase,negativa
168,completamente equivocado joão maranhão forte pq vc vê tv quer dizer outros estados fraco repente joão nordeste mesma forma tentam dizer amazônia mundo br preguiça,negativa
171,chega joão maranhão especialistas cult luís saem toca postando juízo gosto disfarçado pesquisa científica sinto repulsa,negativa
172,pode joão maranhão melhor boiada daquela ontem ceará rolado 10 facadas 2 tiroteios,negativa
173,fds passado primeira vez joão maranhão fiquei pena luís esmurra,negativa
182,ódio tô tendo povo falando joão nordeste tudo coisa vai maranhão ceará piauí paraíba outros 5 estados vê encontra festa,negativa
189,joão maranhão loucura boi forró reggae cacuriá tchum tcha tudooo,negativa
196,maranhão sempre sendo boicotado nesse joão nordeste globo saojoaodonordeste,negativa
198,joão maranhão contagiante doguinho vira boi,negativa
204,paro arrepiar bixo joão maranhão coisa linda vi vida,negativa
208,todo mundo fala sobre quanto horrível maranhense nesse mês ninguém fala sobre pesadelo ter morado 30 anos maranhão ir morar ter ver melhor joão redes sociais,negativa
215,perdi contas quantas fogueiras contei caminho fazenda pra casa dia joão sertão maranhão,negativa
217,acho governo maranhão meio burro botar lema maior joão mundo pq todo mundo sabe maior joão mundo campina grande botar melhor joão mundo aí debate tava encerrado,negativa
220,nunca entraria discussão sobre tradições joão porque único argumento joão verdade maranhão,negativa
230,tristeza maranhense maranhão joão descreve,negativa
231,conheci gente massa decepcionei esperava aprendi demais amadureci levei uns baque dancei boi aprendi sobre 2o maior joão brasil adeus maranhão breve tempo vai dizer,negativa
239,flamengo perdeu nada melhor curti joão maranhão,negativa
244,sao joao maranhao literalmente unico sao joao mundo lamento,negativa
247,todos joãos vida passei aqui maranhão nunca vi unidadezinha fogueira sei pra serve pq tanta gente acha símbolo joão faz usa pra assar comida decoração,negativa
264,n triste morando maranhão época joão,negativa
271,falta faz show alceu valença dorgival dantas joão maranhão,negativa
275,bate boca show klessinha ontem raposa confusão envolvendo prefeito joão muita história pra contar,negativa
285,maior joão maranhão disparado deixa campina grande caruaru chinelo,negativa
301,assistam agora jm1 grave caso racismo joão maranhão,negativa
304,infelizmente despachei mala então cumpri requisitos ia amanhã demaaaais gastar mil pirando joão maranhão kkk,negativa
305,cria maior joão brasil vulgo maranhão sinto mta dor tá aqui nessa época aaaaaaaaaaaaaaaa,negativa
316,tão acostumada cultura maranhão piauí vezes sei diferenciar duas acabei ver tt menina falando creme galinha aqui luís nessa época joão entrei choque,negativa
318,doaria tranquilamente costas inteiras pra projeto tatuagem c tema joão maranhão tatuadores podem entrar ctt pra fazer acontecer,negativa
322,nessas horas sinto falta demais país maranhão pq joão lá dá surra daqui,negativa
332,existe maranhense more maranhão fique deprê época joão,negativa
337,faz nenhum sentido intercâmbios desconexos joão maranhão objetivo lotar arraiais aqui produzido cumpre função joão pedro marçal proteja,negativa
340,50 milhões dois meses joão sair algum lugar corte r 169 milhões universidade estadual maranhão determinado decretos 38314 38315 diário oficial estado 22 maio 2023 tal corte representa ataque universidade,negativa
352,hà exatamente 1 ano atrás marido joão maranhão morrendo saudades tudo principalmente,negativa
397,saudade disso maranhão diz joão tá troando,negativa
399,dá maranhão matérias joão jn alex barbosa trabalhando parar,negativa
409,gente saudade gostosa sinto desse lugar viva joão maranhão,negativa
411,louca pra conhecer joão maranhão,negativa
412,cria vergonha cara joão particular dinheiro público agendas finais semana maranhão pra usar avião fab enquanto 40 50 cidades pobres brasil maranhão devolva dinheiro roubou respiradores loja maconha,negativa
429,maranhão tempo fechou gata açúcar simbora q tá bem pertinho 200k youtube lucy alves avisou slz joão thay faça faça vai bagunçando tudo,negativa
430,maranhão sabe fazer joão perde pra lugar nenhum,negativa
444,acho absurdo nunca nenhum joão thay todos anos ano vem maranhão nesse período vou fazer tudo pra comparecer,negativa
457,joão teresina tragédia comidas típicas resumem arrumadinho zero clima joão zero cultura maranhão qualquer cidade dá 10 0 avalie luís,negativa
468,vi 3 stories pessoas diferentes luís deu saudades joão maranhão parece fazem 4 anos tava lá,negativa
469,lance vídeo mamada aqui favor tt luis precisa disso joao thay tá foda cultura maranhão respira apesar tudo,negativa
471,referência country daí nunca viu sequer foto joão maranhão tá falando bosta pra vc ficar ligada baseou,negativa
475,quiser passar pano passe joão maranhão quase 200 anos sotaque grande ilha pra dona bonita achar direito levantar voz contra ah merman vai joão fake pra la,negativa
476,moça ainda trocava fraldas enquanto brinquedos mantinham vivo joão maranhão vulnerabilidade brinquedos desculpa divulgação visibilidade enganosa certa forma culpabiliza brinquedo entender fato dinâmicas,negativa
480,disse lera vão tomar amor lera chorou lera chorou manda pra vai dançar cacuriá contigo viva dona teté rosa reis joão maranhão lindo mundo,negativa
486,vcs reclamam joão thay nunca joão interior maranhão principalmente região central ngm conhece musica boi direito conhece pq alguma vez veio capital joãoo dificil btw,negativa
489,todo ano sofrendo vivendo experiência passar joão maranhão,negativa
494,joão artista maranhão foda,negativa
495,nao pq leo santana ivete vao destruir sao joao maranhão,negativa
497,chegar maranhão ir direto pro joão thay ficar 3h manhã acordar 6h sair hotel 630 queria saber mundo tava pra aceitar fazer loucura esqueci totalmente idade,negativa
501,trabalhou bastidores qualquer joão sabe quanto donos boi prepotentes arrogantes inclusive alguns brincantes kkkkkk vem militar pq cara branco pq boi aqui maranhão elitizado brincantes tudo playboy poupe,negativa
513,lendo fofoca joão pessoas souberem acontece classe artística luís maranhão matam kakakaka,negativa
514,totalmente tudo joão maranhão nesse modelo perde pro balão noção,negativa
520,primo mandou mensagem dizendo joão luís maranhão pegando fogo preciso ir conhecer q antes q morra kkkkkkkk,negativa
526,opinião polêmica sobre história sjt entendo q boi maioba peso nome joão maranhão fato negarem participarem horas antes evento sacanagem sim certeza,negativa
536,gente joão thay governo maranhão porra todo ano cobrança pra cima menor obrigação assim ainda faz 1 evento cultura local arrecadaria quase nada 2 noite pra tudo semana,negativa
541,joão thay obrigação nasceu proposta espetacularização ta cada ano maior eventos secretarias cultura prefeitura governo estado pecam manter respeitar fomentar tradições,negativa
545,vendo famosos reclamando calor daqui maranhão joão thay aqui próprio inferno d tão quente,negativa
546,cezar black pop star gente joão thay parou,negativa
555,bianca chegou maranhão vai pro joão maquiagem fez manhã certeza vai durar falou justamente pra pessoas comentarem sobre dizer sabe ta fazendo garante dms trampo vc foda bibi,negativa
568,menina maranhão falando mal joão thay ctz q daquelas q axa q joão fantasiar matuto tomar quentão,negativa
571,kkkkk sabe acho irônico joão thay maioria desses influences nunca iriam vim maranhão evento grande pq maranhão nunca lugar escolha conhecer pq pra nordeste resume bahia ceará,negativa
577,tá mostrando mta coisa foda aqui hst maranhão pagaria ingresso sao joao pra trocar duas ideias,negativa
596,deboche população desrespeito artistas locais total ignorância sobre joão maranhão,negativa
625,fracasso carnaval braide resolveu gastar caminhão dinheiro bater frente joão governo documento obtido exclusividade blog acontece descobrimos cantor tierry receberá r250 mil reais apresentar beiramar,negativa
632,amanda indo maranhão joão thay alguns fãs montaram manual receber chorar chore baixo hahahahaha achei fofo,negativa
656,saudades passar joão maranhão,negativa
661,taí menos desse mal acho joão maranhão ainda vai resistir flávio josé ia bem tratado bandas daqui,negativa
676,hoje inicio temporada junina dia 29 capela pedro pretendo percorrer máximo arraiais possíveis joão maranhão maior melhor inesquecível bora primeira parada ensaio redondo bmb maracanã,negativa
678,meio diversas denúncias contra transporte público hospitais escolas municipais braide prepara joão atrações caríssimas luan santana felipe amorim tierry joelma confirmados,negativa
692,juliette vem pro joão thay responde juliette pq vc odeia maranhão,negativa
712,falta lana dá pulo aqui maranhão aparecer joão thay,negativa
735,joão sarando onde dói,negativa
739,desculpem demais joão lindo maranhão,negativa
740,pensar ano passado tava passando joão namorando apresentando sj maranhão intensamente pra jon ano to outro estado namorado matraca mês junho vem depressão,negativa
752,sabadei arraial ipem digo joão maranhão realmente inimigo fim,negativa
767,selecionar fotos joão pra postar deu vontade chorar saudades maranhão,negativa
781,segunda chamada última coluna discutindo problemas joão enfrentou maranhão ausência cooperação institucional principal entrave sim mentalidade política fica atrás,negativa
783,triste dia nesse joão maranhão,negativa
789,acabou joão pedro marçal volta rotina triste paruano festas juninas maranhão,negativa
819,agora preciso ir joão maranhão tô evitando ver vídeo paritins pra criar vontade ir,negativa
824,adapto nenhum outro joão maranhão,negativa
832,joão aqui maranhão pique carnaval rio,negativa
891,moro luís 5 anos cearense afirmo ninguém fortaleza faz menor ideia joão maranhão falar vai ver boi vão pensar tá falando corno,negativa
900,joão maranhão boi matraca lowpoly blender pixelart,negativa
903,época joão perder animação ritmo acelerado algumas cnhs deixadas caminho evite contratempos caso perdido documento utilize cnh digital solicite 2ª via unidade atendimento detranma,negativa
938,sei pessoas vivem nunca ter presenciado joão maranhão sério,negativa
948,garganta lascada corpo cansado joão ajuda nois simboraaaa hj viva maranhão toda cultura,negativa
950,deve mt triste maranhão durante joão né mano imagina n poder assistir bumba boi matava,negativa
957,tô lembrando tava maranhão ano passado festa joao último dia lá fiquei mt mal pq nayeon gostado daquilo sabe,negativa
962,mds vergonha passa anuncio maranhao maior sao joao mundo kkkk,negativa
975,olhar porta achei alguém morrido quase morreu atropelada motos q usando calçada pista obrigada joão maranhão q desgraça época bicho,negativa
985,chatiadissima q nao existe pratin festa joão maranhão,negativa
986,aqui luís prefeitura governo estadual fazem pagam fortunas pra artista nada ver joão maranhão enquanto pessoal aqui terra matar ano todo pra manter,negativa
996,adolescente 13 anos perdeu quatro dedos mão ficou queimaduras rosto após estourar bomba joão zona rural município codó distante 311 km luís maranhão adolescente levado pressas hospital geral codó onde passou cirurgia segundo relatos testemunhas adolescente acendeu bomba casa escondido pais bomba acendeu explodiu imediatamente jovem direção objeto pegálo momento bomba explodiu mão hospital passou cirurgia tentar reconstruir mão possível devido gravidade acidente continua internado unidade hospitalar recebendo cuidados médicos vanessa carvalho,negativa
997,adolescente 13 anos perdeu quatro dedos mão ficou queimaduras rosto após estourar bomba joão zona rural município codó distante 311 km luís maranhão adolescente levado pressas hospital geral codó onde passou cirurgia segundo relatos testemunhas adolescente acendeu bomba casa escondido pais bomba acendeu explodiu imediatamente jovem direção objeto pegálo momento bomba explodiu mão hospital passou cirurgia tentar reconstruir mão possível devido gravidade acidente continua internado unidade hospitalar recebendo cuidados médicos vanessa carvalho,negativa
1015,retrato pior joão maranhão décadas grupos abandonados secretaria cultura estado maranhão matando grupos boi sotaque costa mão,negativa
1018,jimin perdido joão maranhão,negativa
1021,joão maranhão multi cultural agonizando show nacionais pá terra ja jogando,negativa
1031,espaço bumba joão show gustavo mioto agitando público governoma saojoao2024 saojoaodomaranhao,negativa
1036,nunca gostei bomba boi governo sendo porcaria nesse joão maranhão baleia dino fazia,negativa
1044,joão maranhão ano tá porcaria fim quero q merda acabe logo,negativa
1054,niguém aguenta bastidores cultura tá parecendo polovora nenhuma necessidade fazerem fazendo décadas luta consolidar joão festa forte maior maranhão destruir basta dois anos acabem chega,negativa
1057,pior joão maranhão raposa,negativa
1062,yuri arruda vergonha pro estado maranhão burro entende porra nenhuma cultura entregou joão pro agro cara exatamente limitado junto energúmeno brandão vcs vergonha pra cultura,negativa
1063,tristeza todo maranhense maranhão joão sente,negativa
1076,nota portal metrópoles assessoria governador maranhão disse acionou judicialmente senhor carlos jonas publicações feitas redes sociais contestando preparação oficial joão maranhense,negativa
1078,leo dias ta errado maior joão maranhão,negativa
1079,leo dias ta errado maior joão maranhão,negativa
1083,pedro ajudando escancarar cagada q gov fez joão maranhão lamento trabalhadores q tão lá mereciam passar,negativa
1084,alguém falar mal joão maranhão junto pra falar mal,negativa
1093,joão outros estados gente olha pena né fazer maranhão maioral,negativa
1097,tempo juiz tribunal história certos casos sentencia rapidamente gov acusado abandonar tradições joão maranhão anunciou bumba joão atrações,negativa
1098,fizeram joão maranhão vergonha acabando cultura enaltecer cultura alheia bizarro,negativa
1102,espaço bumba joão dupla matheus kauan agitam galera saojoaodomaranhao,negativa
1113,querido acha joão maranhão realizado governo correios governo federal injetou dinheiro algo ruim 1 público pode levar nada capacete pq empresa proibiu 2 calote danças tradicionais sempre algo rotineiro,negativa
1127,porra galera dá pra defender simplesmente horrível viver maranhão pleno joão gestao fazendo mínimo pra maior festa estado secretário cultura falando pra sec precisa entender cultura,negativa
1134,caralho imagina maranhão época joão,negativa
1136,maior joão mundo maranhão adianta chorar,negativa
1152,então quer dizer maior joão maranhão todo elite pq arraial ipem tá bandeirinha centro histórico totalmente abandonado hein francamente hein,negativa
1158,rapaz acho q deve perder contratos publicitários partir agora informação punição sim ex nunca chame pro joão maranhão terra maioria preta maiores índices pessoas pretas brasil orgulho,negativa
1162,joão 2024 maranhão tá estranho bandeirinhas centro histórico cazumbraide ate cacuriá d tetémudou nome,negativa
1163,gente negócio naming rights joão maranhão coisa séria mandaram aqui zap boi maioba vendeu naming rights pra ambev agora vai chamar boi antártica sub zero assim ouvi falar,negativa
1166,sao joao maranhao agora pós apocalíptico dhjabo eh jack,negativa
1169,to morrendo inveja todos vivendo minimo joão maranhão,negativa
1170,14 junho sinal bandeirinhas centro joão maranhão morto tristeza,negativa
1171,juro tô entendendo onde povo tirou usar chapéu rodeio joão maranhão,negativa
1176,triste fizeram maior representação cultural estado esquecem aqui maranhão principalmente região metropolitana luís joão maior carnaval,negativa
1177,real parece joão cidade triste feia esburacada escura suja bandeirinha planejamento cazumbraides colocaram ano maior joão maior apagamento joão maranhão vivemos menos 2 décadas,negativa
1179,governo maranhão fez parceria 4 mãos destruiu pista atletismo complexo castelão pra fazer área shows villa mix fim contas prefeitura conseguiu fazer lineup joão 10 vezes melhor,negativa
1197,empresária agora influenciadora digital mani reggo acusada fugir excompanheiro davi brito evento joão thay maranhão leia,negativa
1198,sério queriam dar título patrimônio imaterial maranhão joão thay vá fuder gente burra desgraça,negativa
1204,protestou contra pl visa declarar evento joão thay patrimônio cultural imaterial maranhão sessão,negativa
1217,porra vcs mto chatos porra joão thay amigo vai ocupar porra vai ler livro preferência história maranhão caralho puta pariu,negativa
1219,dep denunciou suposta falta projeto obra trânsito livre francisco luís criticou pl quer tornar joão thay patrimônio cultural imaterial maranhão sessão,negativa
1227,qq davi maranhão sao joao thay mimos,negativa
1248,bizarro sertanejo joão maranhão,negativa
1250,conteúdos incríveis joão maranhão cultis twitter tacando pau thay bando gente podre,negativa
1257,tava aqui vendo joão thay foda encontro bois bumbás parintins bumbas bois maranhão,negativa
1262,cantora fafá belém reviveu ontem 86 dueto david assayag contando vermelho joão thay luís maranhão noite levou evento bois parintins fafadebelem dueto davidassayag saoluisdomaranhao saojoaodathay cantavermelho,negativa
1263,tô doida pra passar joão maranhão,negativa
1267,galera sério cool falar mal sao joão thay inveja chega pessoa oportunidade vez ano mostrar pro brasil inteiro maranhão pobreza mídia mostra criticam coisa descolado entendo real,negativa
1274,todo role sao joao thay bateu saudade maranhão vai fazer 10 anos atravesso gurupi,negativa
1294,evento thaynara representa joão maranhão dirá suficiente pra representar capital norte nordeste danças culturais daqui 30 minutos tela tomem vergonha,negativa
1299,sãojoãodathay primeira vez bois parintins garantido caprichoso apresentam joão thay noite desse sábado 86 luís maranhão,negativa
1313,joão maranhão 60 dias encontro cansada 2 dias joão thay,negativa
1320,arrepiou aí bater olho dá pra sentir energia única joão maranhão saojoaodomaranhao governoma maranhao nordeste,negativa
1349,maranhão cantando toada vermelho tô chorando isabelle sao joao thay,negativa
1357,coisa pouquíssimas pessoas falam levou joão maranhão multidiversidade bois matracas tambores criola etc conhecimento brasil nenhum outro maranhense famoso feito antes,negativa
1389,fracasso imagens aéreas primeiro dia joão thay confirmam informações publicadas blog sobre fracasso vendas ingressos distribuindo cortesias primeiro dia evento praticamente vazio,negativa
1394,sinto saudades joão maranhão piauí vi movimento,negativa
1429,reclama joão thay passa povo desavisado imbecil além mostrar cultura evento muita visibilidade maranhão tbm ajuda muitas instituições caridade,negativa
1434,matando saudades maranhão joão thay,negativa
1443,ex bbb fake ficou totalmente apagada davi chegou maranhão joão thay davi,negativa
1457,preta gil cancela show joão thay questões saúde cantora preta gil estaria joão thay maranhão nesta sextafeira 76 precisou cancelar apresentação leia,negativa
1478,hoje dia fingir costume governoma participa coletiva imprensa sobre joão thay realizado nesta sexta 07 neste sábado 08 luís governoma sãojoãodomaranhão sãojoãodathay culturama,negativa
1479,liga povo baixem app joão 2024 percam informação sobre arraias governoma aproveita manda dica parceiro sempre fica perdido saber datas locais appsaojoao2024 maiorsaojoaodomundo maranhao,negativa
1494,vendo joao tay fez sentir muita saudades maranhão,negativa
1497,dúvida davi sensação momento lá maranhão davi sāo joāo thay,negativa
1504,acho foda ter dinheiro promover joão foda maranhão dinheiro fazer saneamento básico bairros pobres,negativa
1514,genteeeeee governador maranhão conseguiu destruir centro histórico puta pariu cara ps bandeirinhas joão colorem centro inauguradas dia 12 fluxo turístico bombando lá,negativa
1518,davi mani falaram olharam fotografaram juntos dois jantar joão thay maranhão evitaram rato fugindo gato escreveu colunista,negativa
1563,viabilizar realização apresentações grupos brincantes padecem recursos thay influencer famosa joão thay maranhão faz governo maranhão parem diminuir evento garota q sempre colocou estado pauta,negativa
1583,gente pega leve aí percepção sobre falando óbvio joão thay grande pica maior expoente todos tempos maranhão óbvio turismo depende thay og agora mal fomentar traz coisas positivas todo nada demais,negativa
1602,insta fofoca tão coçando pra davi chaga maranhão cabeça matérias vão coloca davi iguinora fulana joão thay,negativa
1603,raimunda souza matou pouco saudade joão diz ação momento especial durante tratamento,negativa
1609,shows nacionais acontecem muitos anos arraiais lotam espaços sempre parte programação encerramento alguma atração joão maranhão sendo feito agora destruição pista atletismo castelinho,negativa
1623,vou ter ficar 100 off mês aguento ver coisas maranhão joão tá deixando mal,negativa
1650,custo aproximadamente r 8 milhões grande produtora luís envolvida joão thay verdadeiro fracasso vendas,negativa
1661,diz q joão thay traz visibilidade pro maranhão pode doido,negativa
1700,secretaria cultura maranhão anunciou tradicionais bandeirinhas joão instaladas centro histórico luís partir 12 junho após atrasos devido problemas fornecedor,negativa
1711,falem falar joão continua sendo maranhão tristeza ano poder participar,negativa
1716,restante estados nordeste podem batalhar vontade nunca irão superar melhor diverso maior joão mundo luís maranhão,negativa
1727,sei joão começou tio bombinhas arma barraca ali retorno cohama vai pro mateus pai deu dinheiro pra criança kkkkk,negativa
1732,começou sao joão maranhão tô chorando saudade,negativa
1735,dei primeira chorada saudade joão maranhão hoje uhu,negativa
1736,joão bahia alguém né hoje toma pau pernambuco sergipe maranhão esforço jaja carnaval morre nesse estado merda,negativa
1737,aqui maranhão estado paga antecedência artistas fazerem shows joão demoram anos pra pagar brincadeiras aí governador vem falar cultura cultura agro msrv,negativa
1742,gnt bateu desespero vakinha online giovileu sao joao maranhao 2024,negativa
1750,triste vivesse longe joão maranhão,negativa
1753,começou época ano sofro vendo vídeos joão maranhão,negativa
1754,eta carai vídeos dessa doidinha joão maranhão vão coisa malucooo kkkkkkkkk,negativa
